	country	year_1960	year_1961	year_1962	year_1963	year_1964	year_1965	year_1966	year_1967	year_1968	year_1969	year_1970	year_1971	year_1972	year_1973	year_1974	year_1975	year_1976	year_1977	year_1978	year_1979	year_1980	year_1981	year_1982	year_1983	year_1984	year_1985	year_1986	year_1987	year_1988	year_1989	year_1990	year_1991	year_1992	year_1993	year_1994	year_1995	year_1996	year_1997	year_1998	year_1999	year_2000	year_2001	year_2002	year_2003	year_2004	year_2005	year_2006	year_2007	year_2008	year_2009	year_2010	year_2011	year_2012	year_2013	year_2014	year_2015	year_2016	year_2017	year_2018	year_2019	year_2020
21	Benin	2431617.0	2465865.0	2502897.0	2542864.0	2585961.0	2632361.0	2682159.0	2735308.0	2791588.0	2850657.0	2912338.0	2976575.0	3043563.0	3113681.0	3187413.0	3265167.0	3347169.0	3433445.0	3523933.0	3618519.0	3717161.0	3820126.0	3927717.0	4039940.0	4156819.0	4278502.0	4404504.0	4535262.0	4672844.0	4820020.0	4978489	5149496	5331805.0	5521761.0	5714215.0	5905552	6094272	6281644	6470275	6664102	6865946	7076728	7295400	7520556	7750003	7982223	8216893	8454790	8696915	8944713	9199254	9460829	9729254.0	10004594.0	10286839.0	10575962.0	10872072.0	11175192.0	11485035.0	11801151.0	12123198.0
22	Bermuda	44400.0	45500.0	46600.0	47700.0	48900.0	50100.0	51000.0	52000.0	53000.0	54000.0	55000.0	54600.0	54200.0	53800.0	53400.0	53000.0	53200.0	53400.0	53600.0	53800.0	54670.0	55050.0	55449.0	55930.0	56423.0	56898.0	57382.0	57849.0	58347.0	58841.0	59326	59021	58595.0	58910.0	59320.0	59746	60129	60497	60943	61285	61833	62504	62912	63325	63740	64154	64523	64888	65273	65636	65124	64564	64798.0	65001.0	65138.0	65237.0	64554.0	63873.0	63919.0	63913.0	63903.0
23	Bhutan	223284.0	228849.0	234552.0	240529.0	246961.0	253993.0	261664.0	269944.0	278731.0	287886.0	297307.0	306957.0	316822.0	326986.0	337491.0	348395.0	359721.0	371424.0	383324.0	395192.0	406883.0	418107.0	428938.0	439823.0	451471.0	464264.0	478683.0	494313.0	509532.0	522173.0	530801	534637	534525.0	532590.0	531905.0	534629	541471	551713	564378	577886	591014	603643	616025	627840	638809	648744	657404	664873	671611	678329	685502	693297	701582.0	710235.0	719053.0	727885.0	736706.0	745563.0	754396.0	763094.0	771612.0
24	Bolivia	3656961.0	3728954.0	3802996.0	3879191.0	3957759.0	4038865.0	4122517.0	4208683.0	4297522.0	4389248.0	4484004.0	4581752.0	4682392.0	4785916.0	4892294.0	5001413.0	5113458.0	5228253.0	5344946.0	5462413.0	5579932.0	5697098.0	5814344.0	5932812.0	6054126.0	6179460.0	6309129.0	6442824.0	6580318.0	6721117.0	6864839	7011456	7160917.0	7312857.0	7466792.0	7622334	7779268	7937453	8096761	8257066	8418270	8580244	8742822	8905820	9069044	9232301	9395449	9558438	9721457	9884790	10048597	10212951	10377677.0	10542375.0	10706517.0	10869732.0	11031822.0	11192853.0	11353140.0	11513102.0	11673029.0
25	Bosnia and Herzegovina	3225664.0	3288604.0	3353228.0	3417573.0	3478999.0	3535632.0	3586630.0	3632678.0	3675448.0	3717476.0	3760536.0	3805286.0	3851153.0	3897259.0	3942221.0	3985107.0	4025271.0	4063188.0	4100355.0	4138816.0	4179850.0	4222479.0	4265183.0	4307907.0	4350566.0	4392135.0	4435925.0	4479516.0	4509462.0	4507819.0	4463422	4369320	4233673.0	4078940.0	3936527.0	3829049	3764419	3736070	3734338	3743353	3751176	3755514	3759389	3762179	3764194	3765332	3765422	3762791	3754261	3735945	3705478	3661173	3604972.0	3542598.0	3482106.0	3429362.0	3386263.0	3351534.0	3323929.0	3300998.0	3280815.0
26	Botswana	502733.0	512688.0	523777.0	535692.0	547870.0	559996.0	571957.0	584098.0	596946.0	611297.0	627714.0	646350.0	667096.0	689906.0	714701.0	741346.0	769982.0	800532.0	832467.0	865073.0	897860.0	930412.0	962859.0	996124.0	1031439.0	1069585.0	1110948.0	1154904.0	1200073.0	1244484.0	1286756	1326321	1363541.0	1399110.0	1434061.0	1469173	1504724	1540424	1575827	1610260	1643333	1674674	1704637	1734387	1765533	1799077	1835911	1875458	1915636	1953495	1987106	2015406	2039551.0	2062551.0	2088619.0	2120716.0	2159925.0	2205076.0	2254067.0	2303703.0	2351625.0
27	Brazil	72179235.0	74311338.0	76514329.0	78772647.0	81064572.0	83373533.0	85696502.0	88035815.0	90387079.0	92746607.0	95113265.0	97482928.0	99859388.0	102259497.0	104706193.0	107216209.0	109790943.0	112425392.0	115121158.0	117878412.0	120694012.0	123570327.0	126498322.0	129448815.0	132383569.0	135274083.0	138108915.0	140891606.0	143627505.0	146328305.0	149003225	151648007	154259382.0	156849086.0	159432717.0	162019889	164614682	167209046	169785253	172318674	174790339	177196051	179537523	181809244	184006479	186127108	188167353	190130445	192030362	193886505	195713637	197514541	199287292.0	201035904.0	202763744.0	204471759.0	206163056.0	207833825.0	209469320.0	211049519.0	212559409.0
28	British Virgin Islands	8053.0	8164.0	8319.0	8469.0	8644.0	8836.0	9022.0	9213.0	9427.0	9621.0	9830.0	10012.0	10210.0	10391.0	10551.0	10697.0	10821.0	10923.0	11041.0	11226.0	11471.0	11821.0	12250.0	12755.0	13317.0	13951.0	14646.0	15390.0	16155.0	16867.0	17489	18007	18443.0	18783.0	19068.0	19307	19508	19660	19820	20026	20313	20675	21128	21674	22329	23106	24022	25050	26096	27035	27796	28326	28654.0	28850.0	28985.0	29148.0	29355.0	29567.0	29795.0	30033.0	30237.0
29	Brunei Darussalam	81707.0	85560.0	89484.0	93540.0	97819.0	102390.0	107274.0	112446.0	117897.0	123596.0	129530.0	135672.0	142015.0	148516.0	155069.0	161635.0	168173.0	174717.0	181201.0	187596.0	193880.0	200027.0	206064.0	212073.0	218176.0	224440.0	230917.0	237565.0	244405.0	251456.0	258714	266208	273888.0	281684.0	289452.0	297112	304620	311962	319135	326214	333166	340037	346777	353295	359434	365112	370262	374967	379418	383902	388634	393687	398997.0	404414.0	409778.0	414914.0	419791.0	424481.0	428960.0	433296.0	437483.0
30	Bulgaria	7867374.0	7943118.0	8012946.0	8078145.0	8144340.0	8204168.0	8258057.0	8310226.0	8369603.0	8434172.0	8489574.0	8536395.0	8576200.0	8620967.0	8678745.0	8720742.0	8758599.0	8804183.0	8814032.0	8825940.0	8861535.0	8891117.0	8917457.0	8939738.0	8960679.0	8960547.0	8958171.0	8971359.0	8981446.0	8876972.0	8718289	8632367	8540164.0	8472313.0	8443591.0	8406067	8362826	8312068	8256786	8210624	8170172	8009142	7837161	7775327	7716860	7658972	7601022	7545338	7492561	7444443	7395599	7348328	7305888.0	7265115.0	7223938.0	7177991.0	7127822.0	7075947.0	7025037.0	6975761.0	6927288.0
