id_comercio|id_bandera|id_sucursal|id_producto|productos_ean|productos_descripcion|productos_cantidad_presentacion|productos_unidad_medida_presentacion|productos_marca|productos_precio_lista|productos_precio_referencia|productos_cantidad_referencia|productos_unidad_medida_referencia|productos_precio_unitario_promo1|productos_leyenda_promo1|productos_precio_unitario_promo2|productos_leyenda_promo2
3|1|1389|0000000023877|0|Queso LS Finlandia Chef Fetas Danbo 150gr|150.00|gr| |685.00|4566.67|1|kg||||
3|1|1389|0000000023208|0|QUESO VERONICA|1.00|unidad| |460.00|460.00|1|unidad||||
3|1|1389|0045011111111|1|RED BULL ENERGY DRINK LATA X 250 CC|1.00|unidad| |3190.00|3190.00|1|unidad||||
3|1|1389|0000090435225|1|RED BULL ENERGY DRINK LATA X 355 CC|1.00|unidad| |4400.00|4400.00|1|unidad||||
3|1|1389|9002490232054|1|RED BULL ENERGY DRINK SUGAR FREE LATA X 250CC|1.00|unidad| |3190.00|3190.00|1|unidad||||
3|1|1389|7622201142223|1|RHODESIA CHOCO OBLEA RELLENA CUBIER C/CHOCO X 22G|1.00|unidad| |64.00|64.00|1|unidad||||
3|1|1389|7790580327415|1|ROCKLETS CONFITES DE CHOCOLATE PAQ. X 40 GR|1.00|unidad| |1445.00|1445.00|1|unidad||||
3|1|1389|7790580327613|1|ROCKLETS NARANJA MANI C/CHOCOLATE CONFITADO X 40G|1.00|unidad| |1450.00|1450.00|1|unidad||||
3|1|1389|7798024760507|1|ROLL CHICKEN CAESAR X 210GR|1.00|unidad| |6380.00|6380.00|1|unidad||||
3|1|1389|7798162980461|1|ROLL INTEGRAL VEGETARIANO 230 GR X UN|1.00|unidad| |7260.00|7260.00|1|unidad||||
3|1|1389|7798162980508|1|ROLL MEDITERRANEO 230 GR X UN|1.00|unidad| |8800.00|8800.00|1|unidad||||
3|1|1389|7798162980478|1|ROLL PARMESANO 230 GR X UN|1.00|unidad| |8800.00|8800.00|1|unidad||||
3|1|1389|7790250056775|1|Rollo de Cocina Sussex 3 un|1.00|unidad| |205.00|205.00|1|unidad||||
3|1|1389|0000000023605|0|SACRAMENTO MEMBRILLO X UN|1.00|unidad| |1040.00|1040.00|1|unidad||||
3|1|1389|7790040111325|1|SALADIX BACONZITOS X 60G|1.00|unidad| |2030.00|2030.00|1|unidad||||
3|1|1389|7790580716806|1|SALADIX GALLETITAS SAB. CALABRESA CAJA X 100G|1.00|unidad| |1970.00|1970.00|1|unidad||||
3|1|1389|7790580716707|1|SALADIX GALLETITAS SAB. JAMON CAJA X 100G|1.00|unidad| |1970.00|1970.00|1|unidad||||
3|1|1389|7790580717407|1|SALADIX GALLETITAS SAB. PARMESANO CAJA X 100G|1.00|unidad| |1195.00|1195.00|1|unidad||||
3|1|1389|7790580697303|1|SALADIX GALLETITAS SAB. PIZZA CAJA X 100G|1.00|unidad| |1970.00|1970.00|1|unidad||||
3|1|1389|7790040374607|1|SALADIX GALLETITAS SAB.DUO CAJA X 80G|1.00|unidad| |1970.00|1970.00|1|unidad||||
3|1|1389|7790040123434|1|SALADIX GALLETITAS SAB.KESITOS X80G|1.00|unidad| |2030.00|2030.00|1|unidad||||
3|1|1389|7790040111332|1|SALADIX PANCHITOS X 65G|1.00|unidad| |1145.00|1145.00|1|unidad||||
3|1|1389|7790040111349|1|SALADIX PIZZITAS X 70G|1.00|unidad| |1145.00|1145.00|1|unidad||||
3|1|1389|7790040125018|1|SALADIX SNACK BARBACOA X58G|1.00|unidad| |1145.00|1145.00|1|unidad||||
3|1|1389|7790040125056|1|SALADIX SNACK CHEDAR X58G|1.00|unidad| |1145.00|1145.00|1|unidad||||
3|1|1389|7790040124974|1|SALADIX SNACK ORIGINAL X58G|1.00|unidad| |300.00|300.00|1|unidad||||
3|1|1389|0000000022201|0|SCHWEPPES POMELO SIN AZUCAR LATA X 310 CC|310.00|cm3| |60.00|193.55|1|l||||
3|1|1389|0000000022203|0|SCHWEPPES TONICA LATA X 310CC|310.00|cm3| |60.00|193.55|1|l||||
3|1|1389|7798062542073|1|SER AGUA CON GAS SABOR CITRUS PET X 1.5L|1.50|l| |170.00|113.33|1|l||||
3|1|1389|7798062541991|1|SER AGUA CON GAS SABOR LIMON PET X 1.5L|1.50|l| |170.00|113.33|1|l||||
3|1|1389|7798062542004|1|SER AGUA CON GAS SABOR LIMON PET X 500CC|500.00|cm3| |110.00|220.00|1|l||||
3|1|1389|7790250057703|1|Servilleta Sussex Premium 80 un|1.00|unidad| |70.00|70.00|1|unidad||||
3|1|1389|0000077956699|1|SHOT ALFAJOR TRISHOT TRIPLE X 60G|1.00|unidad| |1790.00|1790.00|1|unidad||||
3|1|1389|7622300424084|1|SHOT CHOCOLATE CON LECHE Y MANI TABLETA X 170 GR|1.00|unidad| |7270.00|7270.00|1|unidad||||
3|1|1389|0000077914217|1|SHOT CHOCOLATE LECHE CON MANI TABLETA X 35G|1.00|unidad| |1915.00|1915.00|1|unidad||||
3|1|1389|7790114901234|1|SHOT CONFITES DE MANI CON CHOCOLATE CAJA X 40G|40.00|gr| |95.00|2375.00|1|kg||||
3|1|1389|7798161721362|1|SIMPLY GO LIMONADA DEL BOSQUE ORG X 500 CC|1.00|unidad| |575.00|575.00|1|unidad||||
3|1|1389|7798161721348|1|SIMPLY GO LIMONADA JENGIBRE ORG X 500 CC|1.00|unidad| |575.00|575.00|1|unidad||||
3|1|1389|7798304841803|1|SIN PARAR CHOCOLATE DULCE DE LECHE X 90G|1.00|unidad| |1000.00|1000.00|1|unidad||||
3|1|1389|0000000021007|0|SIN PARAR DULCE DE LECHE Y AMERICANA X 90G|1.00|unidad| |1000.00|1000.00|1|unidad||||
3|1|1389|7798304841780|1|SIN PARAR FRUTILLA CREMA X 90G|1.00|unidad| |1000.00|1000.00|1|unidad||||
3|1|1389|0022000018465|1|SKITTLES CONFITES ORIGINAL FRUIT PAQ.X 61.5GR|1.00|unidad| |2490.00|2490.00|1|unidad||||
3|1|1389|0022000018489|1|SKITTLES CONFITES WILDBERRY PAQ.X 61.5GR|1.00|unidad| |2490.00|2490.00|1|unidad||||
3|1|1389|7790895646027|1|SMART WATER C/G 591 ML|1.00|unidad| |1370.00|1370.00|1|unidad||||
3|1|1389|7790895645778|1|SMART WATER S/G 591 ML|1.00|unidad| |1370.00|1370.00|1|unidad||||
3|1|1389|7506174512248|1|SNICKERS BARRA RELL.MANI CUB.C/CHOCOLATE X 48 GR|1.00|unidad| |2390.00|2390.00|1|unidad||||
